1,2,3,4,5,6,7,8
329.7895813,377.42276,242.6729736,53.85408401,161.1256256,57.79438782,293.4133606,62.26841354
128.8683929,161.7548676,139.6362915,18.23405075,71.48760986,27.53597069,201.5666046,45.72270203
172.2707825,162.5615234,197.8428802,30.45275688,87.10122681,97.45857239,379.6560059,79.95126343
201.34935,182.8069611,295.9468384,76.06531525,155.2870789,118.1407928,448.6643677,179.0348206
409.3934937,420.736084,558.2827148,265.2989197,361.4865112,343.586792,907.9831543,558.8687744
323.6874695,232.5812225,371.9671021,258.9602356,337.734436,361.7776794,940.4802246,543.006897
451.3873901,429.9884338,389.5756836,126.5271301,222.5711365,199.1501923,586.3380737,288.3667603
278.4949036,225.9961548,292.031189,139.9528656,157.2459412,180.3318024,478.6389771,249.4373627
187.0365753,104.2587738,192.4105835,231.3500824,197.8059998,294.0747375,606.6105347,400.5645752
346.9576416,258.0864563,380.51651,325.3322449,251.7794037,348.5430908,849.9156494,475.0845337
424.5862427,392.6988525,331.3074646,186.5690002,226.4445801,190.7263184,746.8440552,289.8166809
665.8512573,746.4906006,686.5338135,177.25177,449.8804321,279.3359375,995.3717041,310.7197266
178.218689,219.0423584,174.4771881,48.87373352,128.0219116,62.82449341,324.1425781,86.27389526
257.5708923,255.8293152,231.3369446,28.9379158,113.1527328,41.82317734,281.8780212,59.96971512
259.0733948,241.678894,227.1502838,34.59094238,127.1455994,75.71599579,388.1036682,64.69664764
216.6418915,222.0587921,235.1200867,46.7998085,118.1709442,61.20909119,257.2164612,115.113945
754.260437,752.1339722,837.3955688,331.4367981,481.2814636,432.2752991,1128.195313,685.8490601
442.5725708,411.557251,385.4039307,145.0253754,277.1780701,172.0454712,480.4672852,293.5289917
365.2232056,318.1501465,373.1375732,142.7504272,230.0142975,208.738205,626.7770996,287.199585
333.8665161,316.0518799,325.5188599,156.1522827,195.9369049,218.3218536,612.6279297,348.7376099
139.2910309,118.5701904,180.8283997,228.9542999,214.7441254,310.1081543,630.784668,396.5908813
168.0491943,94.4752121,197.4390869,201.3538971,149.1603851,222.0368958,544.7206421,322.2858276
467.2461548,532.1860962,491.0789795,249.1443787,322.9067688,208.2412415,720.1522217,344.5767822
489.3957825,603.6032104,443.0784912,77.40674591,255.4558563,112.9881363,545.3605957,136.8832703
613.2368164,833.458313,472.0641174,122.8379593,366.4225464,162.9056091,865.3238525,226.0518036
187.8077698,238.4146729,217.473053,26.89038467,120.9541626,35.49839783,274.5183716,52.22729492
71.60839844,76.55452728,124.3462753,38.70536041,84.81608582,132.4080963,510.3637085,118.9407196
318.9227905,397.4707336,350.3581543,53.48116302,184.9266663,79.55760193,448.3337097,153.7330475
221.4032288,232.5603333,274.8983459,134.7770996,166.742218,181.0783081,406.4805908,272.7771301
273.9966125,194.4194946,294.7150269,246.5057983,297.6367798,333.6110535,771.9529419,431.2791748
288.4086609,262.0299683,311.741333,131.8390656,203.222641,206.7709198,587.7302246,246.3605804
238.701355,237.5847931,270.8463135,160.9541016,183.3778076,219.8896484,595.5552979,333.7936096
252.9159546,223.0284729,242.9013367,248.028717,252.6572876,321.2635803,722.4976807,491.0376892
427.8128967,271.9559326,503.8562622,346.6151428,356.5979004,344.2157593,901.4713745,434.242981
592.9797363,595.7766113,498.3493042,207.415741,311.2635803,189.3025055,759.4237061,344.3594971
307.6575317,252.8926697,264.5639038,60.03257751,152.4338989,144.4096985,480.0742798,138.9101563
463.5080261,578.5289917,363.4266357,101.7026825,236.0372009,143.3409576,663.9769897,151.7447052
229.4061584,248.3374786,255.4915161,46.32481384,143.7798004,67.45910645,395.3907471,79.44779205
272.8752747,356.6454468,332.543457,37.90971375,135.7008362,78.20061493,514.3356323,105.0982361
193.4296417,220.8554993,206.8410492,41.8885994,108.1032715,63.77873611,259.3744812,102.0185242
257.8103027,243.8948364,291.697052,161.9836884,183.8283997,217.5714722,500.8847046,303.16922
337.8657532,318.5812988,366.2911377,184.5085754,294.4077454,268.8408203,698.5471191,424.1737976
399.3356323,334.9589539,437.4362793,185.6541443,267.965332,277.3510132,766.708374,325.4628906
229.8401184,249.4219666,259.1991882,129.2983704,167.5722046,191.8045502,533.5413208,295.085144
241.1408997,187.5931091,206.4225464,190.954361,201.666748,212.6779785,458.2654114,272.4166565
188.2266693,125.5737915,191.5299225,184.5112305,135.0702209,232.3126373,551.1986084,351.675293
241.2993622,224.1347809,184.0053711,129.7264557,124.9248505,152.6815796,432.0021667,180.8193359
419.655304,456.1568604,278.5381165,77.63342285,141.9898224,118.8251343,419.4347229,123.6507034
240.6019135,318.8857117,205.3646851,44.55096817,159.4328613,65.33544159,383.2897034,93.79827881
134.9271851,152.004715,148.8830566,18.96986008,70.61238098,25.19120026,158.3188324,31.21234894
134.3089447,158.4818573,159.1215515,23.21858788,82.92197418,61.99222565,317.4320068,64.80315399
196.9834137,191.0899506,182.2020569,44.97784424,99.69812012,83.08807373,353.7164307,165.246109
324.8343201,269.1506958,473.4534302,263.7084961,314.2201538,354.5220947,816.4746094,541.7675781
275.0446167,245.5552368,239.7351379,140.4246674,189.5721588,161.65979,426.7792358,252.5151672
457.3276978,430.8223877,428.3099365,165.3690491,290.65448,231.5139771,675.6819458,286.4464111
223.2658844,146.5236816,284.2572021,221.3425446,215.0583954,327.1812744,867.5322876,481.1934509
165.1416321,123.2380066,167.0348358,211.5302582,174.6957855,258.9333191,516.9897461,327.4748535
253.6995392,151.0258026,337.811554,284.7956543,229.9498138,314.4614258,828.6138306,440.3574219
678.4205322,622.4664307,500.0415649,226.9647064,307.4667664,177.8100891,678.9143066,273.1230469
429.178833,477.7245178,422.3034058,98.51982117,267.7889709,158.2662659,678.2096558,196.425354
225.0209045,248.462616,154.1006165,45.48487854,111.6945267,74.48927307,328.4129333,80.66568756
129.9808655,106.036438,158.6490479,26.78070259,83.85848999,47.64787292,306.0333862,77.20379639
90.91490173,82.20474243,103.5798874,23.36564445,61.05598831,58.85939789,283.5777588,59.75255585
303.3306274,281.419342,279.2264099,70.86390686,160.6267395,94.88870239,371.1680298,129.8924866
306.5369263,204.4629364,416.3514709,295.7828674,302.9768066,450.6534729,823.5891113,602.059082
368.5699768,314.8452148,316.5397034,204.7310486,266.0209961,252.3346558,611.3562622,336.1162109
624.1480103,512.8969727,537.2977905,223.0665588,336.1574402,322.138916,861.7697144,375.1996155
451.2473145,392.4719543,491.6393433,275.8671875,322.0661926,343.3226929,897.8704834,451.4194641
271.8485107,181.2687988,265.1930847,293.1682434,265.3137207,335.7937012,646.6084595,393.5188599
352.9526978,205.2650757,425.3810425,359.9435425,275.8665771,393.5475464,928.9134521,503.5657349
749.8862305,917.9786377,711.5853271,262.8638,425.3479919,236.5092468,899.8505859,363.0412598
494.0531006,487.841095,456.0392456,90.50510406,251.8761749,122.6105957,529.5673218,136.5564423
278.5107422,301.0334473,239.479126,81.5671463,175.739975,96.37414551,459.800293,104.3962173
271.9952393,349.4280396,319.4503784,29.41703796,160.7550049,32.86061478,276.4960632,46.8948288
141.4880829,192.8883514,204.7510376,23.93504715,102.2993469,50.26020432,298.7885742,53.36159897
105.9862823,162.7058868,115.8835907,21.76330566,62.82843399,36.92221832,163.0007019,77.25570679
359.3238525,361.9760742,447.7481079,224.0389404,318.3621826,288.8705444,722.7294922,414.8960571
391.3451538,290.243866,386.861145,212.1800842,331.5925903,290.4771729,723.8537598,398.3934631
515.5869141,504.6882935,467.4445496,131.8184204,249.7190857,157.9345398,521.1070557,215.9960785
356.3620911,354.7750244,341.5476074,137.6663055,201.8373413,177.2912903,495.1542358,272.726593
126.7977829,133.9420929,139.3946686,124.5647888,146.0856171,166.1546631,363.7579956,238.7831726
321.5062256,244.5375061,403.9954834,258.5073853,259.214447,266.9613342,670.5671387,378.566803
708.1212158,654.7824707,497.5486145,216.5705414,280.9467163,187.0960999,752.3807373,308.5454102
225.9131165,212.2107697,276.9551392,61.35184479,174.8007507,122.6965332,413.8859253,127.199379
465.8095093,490.7045898,351.3687744,111.580864,251.8696136,152.5441895,636.2757568,144.3052673
346.4185486,398.6847229,431.3656006,43.0066185,224.2147064,67.2692337,578.4213257,120.4321747
292.9501038,373.2904968,449.907074,53.70928955,212.7123108,133.7292786,678.8309937,128.2061768
319.9421997,251.1299744,349.5999756,104.7641525,192.9467621,155.4169769,580.3219604,219.9914246
277.0182495,320.4317932,423.4296875,175.5465546,299.5158691,220.1497345,651.9556885,360.8847961
390.6974487,274.0020142,350.772522,210.2399292,268.8766479,248.900528,590.6698608,322.2453003
562.4729614,366.4747314,469.6627197,213.0127869,277.6282959,282.5079041,784.4262695,329.2788391
398.2958374,297.6908875,383.602417,219.8131714,244.7793427,272.5238953,768.3630981,375.8399658
367.8519592,220.5235138,337.9443359,400.1382141,336.8626709,437.8121948,838.0941162,456.444397
257.6607666,199.0208588,281.6948547,204.367569,183.7344666,210.6107025,588.7313232,324.7932739
851.3823853,827.5943604,620.256958,303.7410278,407.2990417,304.7547607,798.8321533,410.8302002
495.4395447,695.2209473,602.5370483,105.5766144,345.7827759,150.544632,600.0281372,160.8690186
299.0461731,530.9631958,305.6313171,56.19561768,259.0781555,85.30718994,529.0791016,121.9566116
248.1280365,297.2640381,279.118103,37.16096115,156.0636139,54.01515961,365.0018921,70.50870514
131.6275177,132.4372406,225.687027,42.1282692,105.3909912,97.66802979,445.1164856,93.92620087
109.9665527,147.1309814,179.7581329,32.91754913,137.7530365,47.70122528,298.6077881,114.9535522
315.1123047,368.9255371,375.3456421,158.385498,233.500351,230.4875488,607.8883667,417.203186
397.2834473,303.1461182,387.6334839,209.4854126,301.3369141,262.4031982,671.8451538,376.4004517
515.9741211,384.9780273,451.5073242,169.9122314,247.2616272,236.4414368,664.704834,308.6351013
342.7640076,232.5184631,313.3214722,226.3123627,198.7926788,307.5651855,727.503418,350.5727234
194.6096191,162.4904633,199.8725281,176.6233521,189.5764465,197.1810608,450.9362183,293.4187012
710.9433594,499.0509033,764.3448486,487.8527222,452.9168701,442.8843994,1144.65625,596.708252
644.2116699,649.6984863,503.6965637,177.3110199,280.5619202,167.7524261,676.041626,252.1181335
741.6346436,789.3995361,675.6870728,142.9798279,359.9630127,224.8458252,676.0935059,210.5268707
211.6814575,246.2246399,150.7363892,42.91954803,111.4410477,58.58808517,254.8878021,57.98092651
125.936409,120.8291016,118.9372406,16.57793999,64.70938873,22.44521332,182.2150269,39.07110596
183.9547577,172.6478119,154.9597473,19.31890488,68.31756592,46.39212036,264.6080933,54.79349518
348.173645,269.3218079,327.0921631,78.98429108,172.9214478,115.7375107,504.5848999,172.0023041
299.7484436,254.4707184,385.6661377,202.2754974,267.107605,264.4908142,656.798584,422.3236084
249.3225403,250.7186279,233.7020264,120.2965393,197.1575317,157.8648224,431.3855591,252.9329224
576.8135986,623.9485474,516.1670532,169.039093,295.2797546,228.5828247,690.5176392,311.2976685
414.2009888,291.6067505,381.1455688,228.5438232,231.6323853,285.4719543,701.8466797,354.6769104
251.7849426,241.9359741,257.6113586,213.6942902,258.1490479,247.9752808,571.8424683,373.0921631
211.4241638,116.8624115,255.5106964,235.3164978,179.8408203,248.7616272,597.126709,339.5888062
528.7584229,544.8247681,413.5379028,187.6330566,280.5102539,149.7210999,586.0408936,274.9369507
300.6444702,339.0192871,238.4151917,68.11553955,150.0072021,97.20300293,425.1009521,130.787384
144.8419342,150.4474487,116.2289429,48.2199173,100.2014771,61.04586792,324.2695618,73.05360413
153.4514313,166.2468567,172.0328217,29.10493088,101.4022903,38.57764053,310.2626648,55.48771667
150.4975586,176.2322083,206.3352966,27.87362862,100.7369232,64.62680054,334.4454346,64.40761566
237.6532135,318.4740906,324.1574097,78.92685699,193.9346313,109.996933,536.6345215,182.1170959
251.9320374,200.3726654,301.9194336,166.690155,208.0024872,226.1290741,544.7995605,347.1280518
501.3085327,369.241394,391.367157,253.3105469,335.7084961,362.3858337,827.6105347,458.6056519
426.8050537,383.7710571,377.1107788,126.6044159,199.5113068,144.3571167,488.531311,230.1736755
311.5473633,290.7657776,301.6865234,155.9819183,203.9402466,187.8760681,566.9661255,317.727417
288.5096436,234.4042511,296.8475037,256.8442993,299.2325439,315.2717285,664.6121826,416.4227295
409.2267456,262.3327637,424.3981018,326.3453674,282.1368103,320.1864624,780.9954834,402.4286194
536.3022461,569.3981934,412.9371033,210.0884094,312.3510742,180.4481812,781.7976074,271.10672
171.3883514,239.5744781,187.0453491,61.9275589,118.782608,99.76482391,446.6091614,123.4846954
162.0629578,213.098465,136.2858887,46.48065948,118.8064194,61.93094635,412.583374,98.68102264
89.50994873,115.7507629,105.0173187,14.88883972,61.85559845,19.94399643,166.1525269,32.40969467
85.667099,89.63587189,106.949379,17.69035339,56.22298813,44.76839828,236.0094299,44.45983887
314.5429077,378.6661072,392.9524536,89.89776611,246.1117249,102.9832382,514.6512451,189.1893463
154.6989136,136.3488922,175.8540039,101.2908401,121.0508652,123.7236938,329.1924744,225.2021027
551.1796265,542.6282959,438.1612854,260.7638245,376.5203857,357.7991333,957.7357178,588.4353638
978.4894409,1014.396851,882.8240356,216.2444153,466.0649719,244.8903503,805.2686768,320.5168762
477.7867126,562.4451294,513.2580566,197.9511414,289.9789124,240.1031494,720.5819702,351.9127197
404.1630249,327.9903259,393.9836426,323.1517944,357.1019592,353.6511536,769.3922729,452.302002
417.7943115,264.864624,443.1219482,291.9405518,268.8858337,301.7507019,786.4707031,423.0628662
551.2205811,615.6049805,451.0125732,188.8133545,299.2474365,135.1564026,583.833252,230.7711334
670.9968872,720.1522217,669.9215698,166.0901184,414.1800842,201.4472504,742.2678833,179.0263519
237.2347565,276.2868042,198.9759827,50.48364258,173.9546967,62.94356155,437.717041,95.73188782
217.5189819,383.2398682,302.8294678,28.17820168,180.1731262,36.92004776,370.1343994,70.03825378
59.1907196,79.11147308,95.96477509,10.69874859,53.47251129,31.54622269,197.2437592,37.82891846
67.9059906,101.1198273,91.73143768,19.35354996,61.75213623,23.05022049,127.7986908,58.7098465
283.3582153,318.8093872,345.8707886,154.2337646,239.0601654,185.7446289,526.414978,355.0836792
568.6698608,516.3631592,513.3043213,270.8893738,403.7055969,340.0532532,891.3881836,513.7054443
471.1856689,446.7171631,523.2043457,194.4346924,350.1641846,269.0742188,927.7315674,426.3104858
193.3704834,216.9617767,173.2180939,99.77009583,128.187149,155.745163,454.5338135,274.0109558
254.566803,216.2992554,272.2518005,241.1442566,289.5071411,282.0512085,643.8182983,428.539917
313.3126526,186.2035522,340.5769043,230.047821,213.607605,251.7604218,634.036499,365.5628052
643.6298218,555.9387207,565.984375,267.3009644,377.994873,231.1852722,946.5379639,375.5505066
541.4191895,521.2337646,401.5924072,126.4407578,253.0082855,157.8062592,648.9487305,153.1321411
150.0224304,176.9577332,122.6641159,39.21621704,104.4962769,43.6861763,283.132843,59.89066696
84.01533508,125.3985291,111.1110229,14.6913662,70.32249451,19.32154846,182.0463104,35.33735275
48.70490265,72.41362,80.3942337,11.61424065,43.6211586,28.75928497,157.0847626,29.97173691
192.2844238,156.7357788,294.4576721,94.23632813,163.9343414,117.4834137,447.1921387,169.7115631
311.322998,300.6984253,358.7881775,167.4207764,216.3552094,184.7127228,503.4089966,308.1495361
435.9493103,381.8105164,328.7941284,193.0439606,253.7596741,246.3893433,589.5380859,341.5493164
544.3626709,616.5283203,548.1806641,198.2978973,346.8321838,243.2302246,856.6589966,358.9233093
314.4993591,280.4850769,345.9012756,197.3880615,216.880661,246.2316742,701.5854492,389.0827637
225.5483551,233.5377197,219.972168,158.8292847,201.5918274,189.3018188,397.947876,262.8635864
322.7336121,217.7217712,347.1261597,291.4834595,241.6436157,297.303894,706.3193359,370.3163452
616.1364746,620.5460205,585.7706299,287.5734253,423.5894165,258.8070068,904.4760742,454.8960876
861.4910278,618.8466187,697.0762939,265.8047485,405.8102417,299.8612061,1045.499512,296.4844666
214.3489075,276.5663452,179.8038788,52.42565155,146.1844177,56.21502686,384.9122314,83.35444641
84.20353699,105.8142395,100.6365967,14.56333065,60.12948608,19.01734924,170.8686523,33.45505142
66.17272186,83.82597351,88.57833099,10.58838844,51.72848511,23.48107529,151.5587006,31.10786057
412.2522583,285.7591858,385.5151672,159.7023773,231.1664734,205.7592773,729.1436768,233.4866028
483.2690735,313.4159546,496.8624573,336.4807434,299.8690796,425.2272339,899.4279175,522.6121216
572.7550049,342.6971741,452.9491882,335.5840454,366.5635071,415.2912598,817.7952881,466.1438599
570.2351685,464.3259277,481.3047485,211.6817322,301.3288574,249.0304565,849.1343994,355.2796631
275.8540955,300.4412537,320.6689758,151.4367981,220.0813599,181.6718597,608.786438,326.7571411
241.1938171,155.7667847,211.4021912,222.6708984,203.2288513,268.8868408,506.396637,327.7424316
